LSAT,UGPA,Class,CivPro,LP1,LP2,OneLCUM,FGPA,Accom,Probation,LegalAnalysis,AdvLegalPerf,AdvLegalAnalysis,BarPrep,PctBarPrepComplete ,NumPrepWorkshops,StudentSuccessInitiative,BarPrepMentor,MPRE,MPT,MEE,MBE,UBE,PASS
159,3.96,2019,B+,B+,CR,3.722,3.575,N,N,N,N,Y,Barbri,0.78,1,N,N,107,4,3.1667,144.2,284.3,1
157,3.17,2019,C+,D+,C+,2.608,3.048,N,N,N,Y,Y,Themis,0.99,5,Y,N,111,5,4.1667,154.6,318.2,1
155,3.34,2019,B,B,B+,3.333,3.441,N,N,N,N,Y,Themis,0.85,1,N,N,94,4,4.3333,141.4,297.9,1
154,3.21,2019,B+,B,B+,3.083,3.337,N,N,N,Y,N,Barbri,1,0,N,Y,83,3.5,3.8333,144.2,289.1,1
157,3.41,2019,B,B,CR,3.342,3.539,N,N,N,N,Y,Themis,0.95,5,N,Y,114,4,3.6667,150,297.1,1
155,3.56,2019,A,C,CR,3.375,3.625,N,N,N,N,N,Barbri,0.95,1,N,Y,124,5,3.5,157,311.1,1
160,3.52,2019,C+,C+,C+,3,3.033,N,N,N,N,Y,Themis,0.89,0,Y,Y,79,2.5,4.1667,155.4,295.5,1
155,2.78,2019,C+,B,CR,3.037,3.426,N,N,N,N,N,Barbri,0.69,1,N,N,95,3,3.8333,137.4,277.5,1
154,3.28,2019,C+,B+,B+,2.833,3.067,N,N,N,N,Y,Themis,0.89,0,N,Y,116,4.5,4.6667,147.8,313.7,1
152,3.22,2019,B,C,C,2.59,2.616,N,N,Y,N,N,NA,NA,5,Y,Y,102,4,3.3333,133.4,275.9,1
153,3.26,2019,A,B+,A,3.711,3.744,N,N,N,N,N,Themis,0.84,0,N,N,?,3.5,3.8333,149.3,294.2,1
151,2.96,2019,B,B,CR,3.342,3.368,N,N,N,N,N,Barbri,1,0,N,N,87,3,3.8333,138,278.1,1
155,3.97,2019,A,B+,A,3.944,3.891,N,N,N,N,N,Themis,0.86,2,N,Y,110,4.5,5.3333,163.9,339.1,1
156,3.08,2019,B,D ,A,3,3.532,N,N,N,N,N,Barbri,0.93,0,N,N,NA,3.5,4,149.5,289.3,1
157,3.36,2019,B,B,B,2.954,3.064,N,N,N,Y,Y,Barbri,0.75,0,N,N,99,3,3.1667,146.3,277.2,1
154,3.26,2019,B+,C+,B+,3.391,3.542,N,N,N,N,N,Barbri,1,1,N,Y,111,3.5,2.8333,139.4,270.3,1
157,3.02,2019,B,C+,C+,2.55,3.006,N,N,N,Y,Y,Themis,0.69,1,Y,N,98,4,3.5,153.8,298.7,1
155,3.53,2019,B,B+,CR,3.55,3.768,N,N,N,N,Y,Themis,1,0,N,N,114,4.5,4.5,168.6,332.2,1
156,2.21,2019,A,C+,CR,2.907,3.329,N,N,N,N,N,Barbri,1,0,N,N,99,3.5,3.3333,150.8,288.7,1
149,3.57,2019,C,B,B,2.807,3.191,N,N,N,N,Y,Themis,0.87,0,N,N,99,2.5,2.8333,153.8,275.3,1
155,3.21,2019,B,C,C+,2.673,3,N,N,N,N,N,Themis,0.99,0,Y,N,84,4.5,3.5,139.4,288.9,1
153,3.76,2019,B+,B+,B+,3.266,3.578,N,N,N,N,N,Barbri,0.86,2,N,N,92,4.5,3.8333,146.3,300.4,1
149,3.83,2019,A,A,A,4,3.983,N,N,N,N,Y,Barbri,0.97,0,N,N,111,4.5,3.6667,153.1,305,1
158,2.72,2019,C+,D,C+,2.3,2.616,N,Y,N,N,N,Barbri,1,0,N,N,107,3.5,3.1667,145.6,281.1,1
155,3.72,2019,A,B,CR,3.375,3.544,N,N,N,N,N,Barbri,0.93,0,N,N,104,4,3.1667,148.5,288.6,1
154,3.32,2019,A,B,CR,3.812,3.617,N,N,N,N,N,NA,NA,0,N,N,95,4,3.8333,158.7,308.2,1
