LSAT,UGPA,Class,CivPro,LP1,LP2,OneLCUM,FGPA,Accom,Probation,LegalAnalysis,AdvLegalPerf,AdvLegalAnalysis,BarPrep,PctBarPrepComplete ,NumPrepWorkshops,StudentSuccessInitiative,BarPrepMentor,MPRE,MPT,MEE,MBE,UBE,PASS
148,3.97,2018,B,B,B+,3.379,3.706,N,N,N,N,Y,Barbri,1,1,N,N,138,3,3.6667,161,301.6,1
155,2.97,2018,B,B+,B,3.5,3.58,Y,N,N,N,Y,Barbri,0.87,0,N,N,93,4.5,3.8333,150.8,308.9,1
156,2.83,2018,C,C,C+,2.568,2.888,N,N,N,N,Y,Themis,0.81,0,Y,N,100,3,3.3333,146.4,281.9,1
157,3.36,2018,B,A,B,3.189,3.225,Y,N,N,N,N,Themis,0.76,1,N,N,112,3,3.8333,142.9,285.9,1
158,3.67,2018,B,B,C+,3.051,3.406,Y,N,N,N,N,Barbri,1,3,N,Y,82,4,2.8333,142.9,280.9,1
160,3.31,2018,A,B,B,3.431,3.567,N,N,N,N,N,Barbri,0.86,0,N,N,NA,4,2.8333,162.7,300.7,1
158,3.08,2018,A,B+,C+,3.448,3.75,Y,N,N,N,Y,Barbri,0.72,2,N,N,93,4.5,4,155.4,316.1,1
157,4.14,2018,B+,A,B,3.551,3.737,Y,N,N,N,Y,Barbri,0.78,0,N,N,108,3,4,160.2,305.8,1
152,3.52,2018,D+,C+,C+,2.413,3.084,Y,Y,Y,N,Y,Themis,0.88,2,Y,N,87,2.5,3.1667,155.4,283.3,1
154,3.97,2018,A,A,A,4,3.895,N,N,N,N,N,Barbri,0.86,3,N,N,145,3.5,4.3333,171.8,327.5,1
148,3.59,2018,B,B,C+,2.603,3.238,Y,N,N,N,N,Barbri,1,2,N,N,NA,4.5,3.8333,146.4,304.5,1
155,3.35,2018,B+,A,B+,3.275,3.453,N,N,N,N,N,Barbri,0.86,1,N,N,122,3,3.5,149.3,287.3,1
157,3.1,2018,B,B,B,3.396,3.404,N,N,N,Y,N,Barbri,0.73,0,N,N,87,4,3.3333,152.3,297.9,1
161,3.18,2018,A,B,B+,3.327,3.409,N,Y,N,N,Y,Themis,0.77,0,N,N,103,4.5,3.1667,150.1,298.3,1
147,3.87,2018,C+,B,C,2.327,2.938,Y,Y,Y,N,Y,Themis,0.95,4,Y,Y,108,4,3.3333,149.3,294.9,1
166,3.51,2018,B+,A,B+,2.948,3.267,Y,N,N,N,Y,Barbri,0.97,0,N,N,NA,3,3.3333,138.7,274.2,1
149,3.4,2018,C+,B+,B+,2.965,3.42,N,N,N,Y,N,Themis,0.88,3,N,Y,114,3.5,3.3333,155.4,296,1
156,3.37,2018,B,C+,B,2.637,3.012,N,N,N,N,Y,Themis,0.78,2,Y,N,92,2.5,4,143.6,284.2,1
163,3.14,2018,A,A,B+,3.81,3.656,N,N,N,N,N,Barbri,0.87,0,N,N,105,3.5,3.6667,165.3,310.9,1
159,4.05,2018,A,A,B+,3.534,3.661,N,N,N,N,Y,Themis,0.84,0,N,N,117,3.5,3.6667,140.8,286.4,1
156,3.65,2018,C,B+,A,2.758,3.445,Y,N,N,N,Y,Themis,0.97,5,N,N,88,3,2.8333,152.3,280.2,1
151,3.42,2018,A,B,B,3.206,3.357,N,N,N,N,Y,Themis,1,0,N,N,97,4,4,158.6,314.3,1
